,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
79,SEAT,LEON ST,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-05-09,1598.0,81.0,1280,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
80,HONDA,CIVIC 4DR,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1498.0,134.0,1289,5.0,BENZYNA,,LUBELSKIE
81,HYUNDAI,TUCSON,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-12-13,1975.0,104.0,1537,5.0,BENZYNA,,LUBELSKIE
82,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1598.0,85.0,1316,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
83,SEAT,LEON,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-03-10,1968.0,123.0,1390,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
84,TOYOTA,AURIS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-10-12,1598.0,91.0,1375,5.0,BENZYNA,,LUBELSKIE
85,HONDA,CIVIC,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-06-27,1339.0,61.0,1240,5.0,BENZYNA,,LUBELSKIE
86,SKODA,KODIAQ,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1984.0,140.0,1734,5.0,BENZYNA,,LUBELSKIE
87,SEAT,ALTEA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-02-12,1896.0,77.0,1480,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
88,OPEL,ASTRA GTC,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-07-09,1910.0,88.0,1393,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
89,RENAULT,CLIO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2010-01-13,1149.0,55.0,1155,5.0,BENZYNA,,LUBELSKIE
90,FORD,S-MAX,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-11-26,2179.0,129.0,1802,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
91,JEEP,COMMANDER,SAMOCHÓD OSOBOWY,TERENOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-04-05,2987.0,160.0,2355,7.0,OLEJ NAPĘDOWY,,LUBELSKIE
92,OPEL,COMBO-C,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-06-17,1598.0,64.0,1255,5.0,BENZYNA,,LUBELSKIE
