,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
68,PEUGEOT,206,SAMOCHÓD OSOBOWY,KABRIOLET,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-04-28,1560.0,80.0,1285,4.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
69,SKODA,FABIA,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,999.0,70.0,1094,5.0,BENZYNA,,WIELKOPOLSKIE
70,CITROEN,BERLINGO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2015,2019-09-02,2019-09-02,2015-07-07,1560.0,73.0,1374,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
71,OPEL,ZAFIRA,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2012-01-26,1956.0,121.0,1843,7.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
72,PEUGEOT,206 1.1,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-04-06,1124.0,44.0,985,5.0,BENZYNA,,WIELKOPOLSKIE
73,TOYOTA,COROLLA VERSO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-04-27,2231.0,100.0,1540,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
74,RENAULT,,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-02-06,1461.0,81.0,1383,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
75,MITSUBISHI,SPACE STAR,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2000,2019-09-02,2019-09-02,2000-03-23,1834.0,87.0,1275,5.0,BENZYNA,,WIELKOPOLSKIE
76,RENAULT,CLIO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-12-31,1461.0,55.0,1119,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
77,PEUGEOT,308,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-04-30,1598.0,110.0,1402,5.0,BENZYNA,,WIELKOPOLSKIE
78,TOYOTA,COROLLA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1798.0,72.0,1350,5.0,BENZYNA,,WIELKOPOLSKIE
79,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1591.0,97.0,1415,5.0,BENZYNA,,WIELKOPOLSKIE
80,OPEL,ASTRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-05-26,1364.0,66.0,1230,5.0,BENZYNA,,WIELKOPOLSKIE
81,TOYOTA,YARIS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-10-29,998.0,48.0,965,5.0,BENZYNA,,WIELKOPOLSKIE
