,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
67,BMW,320I,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,1999,2019-09-03,2019-09-03,1999-07-14,1991.0,110.0,1440,5.0,BENZYNA,,OPOLSKIE
68,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-03,2019-09-03,2011-04-05,1968.0,103.0,1571,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
69,CITROEN,BERLINGO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-03,2019-09-03,2005-01-05,1997.0,66.0,1311,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
70,SKODA,SUPERB,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,1984.0,200.0,1728,5.0,BENZYNA,,OPOLSKIE
71,FORD,MONDEO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-03,2019-09-03,2014-08-25,1997.0,103.0,1575,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
72,OPEL,ASTRA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-03,2019-09-03,2011-09-14,1364.0,103.0,1503,5.0,BENZYNA,,OPOLSKIE
73,PEUGEOT,308,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-03,2019-09-03,2008-03-29,1997.0,100.0,1496,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
74,VOLKSWAGEN,FOX,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-03,2019-09-03,2007-02-06,1198.0,40.0,1073,4.0,BENZYNA,,OPOLSKIE
75,VOLKSWAGEN,T5,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-03,2019-09-03,2012-03-21,1968.0,103.0,1976,9.0,OLEJ NAPĘDOWY,,OPOLSKIE
76,BMW,3ER REIHE,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-03,2019-09-03,2007-10-30,2996.0,160.0,1525,4.0,BENZYNA,,OPOLSKIE
77,FIAT,PUNTO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-03,2019-09-03,2010-06-29,1368.0,57.0,1115,5.0,BENZYNA,,OPOLSKIE
78,SEAT,ALHAMBRA 1.9 TDI,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-03,2019-09-03,2002-06-17,1896.0,85.0,1700,7.0,OLEJ NAPĘDOWY,,OPOLSKIE
79,HYUNDAI,GETZ,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-03,2019-09-03,2008-07-17,1086.0,49.0,1050,5.0,BENZYNA,,OPOLSKIE
80,SKODA,KODIAQ,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,1498.0,110.0,1553,5.0,BENZYNA,,OPOLSKIE
81,VOLVO,S40,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-03,2019-09-03,2014-04-11,1560.0,84.0,1477,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
82,TOYOTA,TOYOTA RAV4,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,2487.0,131.0,1611,5.0,BENZYNA,,OPOLSKIE
83,OPEL,INSIGNIA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-03,2019-09-03,2009-04-23,1956.0,96.0,1730,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
84,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,1968.0,140.0,1583,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
85,OPEL,MERIVA 1.3 CDTI,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-03,2019-09-03,2008-03-05,1248.0,55.0,1393,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
86,FIAT,TIPO,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,1368.0,70.0,1150,5.0,BENZYNA,,OPOLSKIE
87,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-03,2019-09-03,2016-04-01,1968.0,110.0,1541,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
