,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
48,CITROEN,XSARA,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-08-30,1749.0,85.0,1320,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
49,SEAT,IBIZA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-16,2005-10-20,1390.0,55.0,1128,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
50,VOLVO,V60,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-02,2019-09-02,2016-06-02,1969.0,88.0,1679,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
51,FORD,MONDEO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-10-26,1997.0,85.0,1501,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
52,FIAT,PUNTO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2006-01-25,1242.0,44.0,1100,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
53,SKODA,ROOMSTER,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-03-29,1896.0,77.0,1335,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
54,NISSAN,QASHQAI 2.0,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-03-29,1997.0,104.0,1490,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
55,TOYOTA,YARIS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2009-01-27,1329.0,74.0,1080,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
56,AUDI,A4 AVANT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-07-03,1968.0,110.0,1610,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
57,MERCEDES-BENZ,A 160,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-11-22,1992.0,60.0,1325,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
58,AUDI,A4,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-12-07,1968.0,103.0,1640,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
59,PEUGEOT,407,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-11-22,1997.0,100.0,1623,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
60,KIA,CEE'D,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-04-29,1582.0,94.0,1375,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
61,KIA,VENGA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1591.0,91.5,1196,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
62,TOYOTA,COROLLA VERSO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-02-16,1995.0,85.0,1525,7.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
63,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-04-15,1896.0,77.0,1287,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
64,OPEL,MERIVA,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-01-04,1364.0,88.0,1318,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
65,TOYOTA,COROLLA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2005-01-14,1364.0,66.0,1275,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
66,NISSAN,QASHQAI,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-04-29,1598.0,84.0,1372,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
67,RENAULT,MEGANE SCENIC 1.6 KAT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-09-02,2002-01-31,1598.0,79.0,1325,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
68,AUDI,A6,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,1999,2019-09-02,2019-09-02,1999-10-21,2393.0,121.0,1580,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
69,VOLKSWAGEN,CADDY LIFE,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-23,2006-01-25,1896.0,77.0,1560,7.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
70,FORD,FIESTA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-10-07,1242.0,60.0,979,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
71,BMW,520 D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-04-26,1995.0,120.0,1695,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
72,NISSAN,QASHQAI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-12-21,1598.0,84.0,1372,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
73,VOLKSWAGEN,BORA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2000,2019-09-02,2019-09-02,2000-03-31,1896.0,66.0,1225,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
74,LEXUS,LEXUS ES300H,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,2487.0,131.0,1730,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
75,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-09-03,1198.0,47.0,1083,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
76,FORD,KUGA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1498.0,88.0,1545,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
77,FORD,ESCAPE,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,2018,FABRYCZNY,2019-09-03,2019-11-04,2018-01-01,1499.0,134.0,1555,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
78,AUDI,A4,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,2003,FABRYCZNY,2019-09-03,2019-10-28,2003-05-01,1595.0,75.0,1405,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
79,OPEL,ASTRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-09-03,2019-09-03,2004-09-29,1598.0,77.0,1265,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
80,OPEL,VECTRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-09-03,2019-09-03,2004-03-23,1998.0,129.0,1505,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
81,KIA,CEE'D,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-03,2019-09-03,2009-09-01,1396.0,80.0,1257,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
82,SEAT,ALTEA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2006,FABRYCZNY,2019-09-03,2019-09-03,2007-02-22,1595.0,75.0,1395,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
83,FIAT,500,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,1242.0,51.0,975,4.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
84,FIAT,PANDA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-03,2019-09-03,2008-05-05,1368.0,74.0,1050,4.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
85,TOYOTA,YARIS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-03,2019-09-03,2009-03-26,1298.0,64.0,1010,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
86,KIA,STONIC,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,1368.0,73.3,1085,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
87,AUDI,A6 ALLROAD QUATTRO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-03,2019-09-03,2012-07-17,2967.0,180.0,1930,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
88,SKODA,SUPERB,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-03,2019-09-03,2009-01-09,1798.0,118.0,1529,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
89,DACIA,SANDERO,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,999.0,54.0,1030,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
90,RENAULT,SCENIC,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-03,2019-09-03,2001-04-19,1598.0,79.0,1185,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
91,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-03,2019-09-03,2011-06-17,1199.0,55.0,1132,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
92,LEXUS,LEXUS NX300H,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-03,2019-09-03,,2494.0,114.0,1801,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
